# #zgrid dndz dndzG20.5
0.000000000000000000e+00 5.759839870281344002e-06 4.211595379903444401e-06
1.001669449081802991e-02 8.967222445059878756e-06 6.313788828125175518e-06
2.003338898163605983e-02 1.752458710594295691e-05 1.162470792883600269e-05
3.005008347245408801e-02 4.088489648896774070e-05 2.570557304012330982e-05
4.006677796327211966e-02 1.030491196708015298e-04 6.263707929792669484e-05
5.008347245409015130e-02 2.603370633685022023e-04 1.554123223830346646e-04
6.010016694490817601e-02 6.336283729827166646e-04 3.747899409997616110e-04
7.011686143572620766e-02 1.442922564819547598e-03 8.495190897416886582e-04
8.013355592654423931e-02 2.961815139663598415e-03 1.739830625481409874e-03
9.015025041736227096e-02 5.316304213166080268e-03 3.120071389034978580e-03
1.001669449081803026e-01 8.426904333204325928e-03 4.945062966723793099e-03
1.101836393989983343e-01 1.238541806626163207e-02 7.270306202765986978e-03
1.202003338898163520e-01 1.758283004292269733e-02 1.032690534627896464e-02
1.302170283806343976e-01 2.433384608606021723e-02 1.430259476072866763e-02
1.402337228714524153e-01 3.265960523724924236e-02 1.921510256919766943e-02
1.502504173622704609e-01 4.228913914234831706e-02 2.491322801770694956e-02
1.602671118530884786e-01 5.281259252310023522e-02 3.116660840616520406e-02
1.702838063439064964e-01 6.379049302572610547e-02 3.773008214737107180e-02
1.803005008347245419e-01 7.472043406206797800e-02 4.432527692852350487e-02
1.903171953255425597e-01 8.515070301755334192e-02 5.070864349961690803e-02
2.003338898163606052e-01 9.482248225853948109e-02 5.675684217940318854e-02
2.103505843071786230e-01 1.036469186540414089e-01 6.245624206765706954e-02
2.203672787979966685e-01 1.116961995651614553e-01 6.790079380795727149e-02
2.303839732888146863e-01 1.192119825016342005e-01 7.329949516645420382e-02
2.404006677796327041e-01 1.265363637953108300e-01 7.893672696879341921e-02
2.504173622704507496e-01 1.340233811262574459e-01 8.511792216194731531e-02
2.604340567612687951e-01 1.419627633307760373e-01 9.211906222738322492e-02
2.704507512520867851e-01 1.505516500249000078e-01 1.001574843877952314e-01
2.804674457429048307e-01 1.599271491010722523e-01 1.093751403269199590e-01
2.904841402337228762e-01 1.701876412820273188e-01 1.198049443774725914e-01
3.005008347245409217e-01 1.813391319534256030e-01 1.313617766129582531e-01
3.105175292153589117e-01 1.932009708363550959e-01 1.438425450015063389e-01
3.205342237061769572e-01 2.053720524174442175e-01 1.568664840192534049e-01
